exp_id,num_assets,num_portfolios,risk_aversion,ansatz_reps,quantum_return,quantum_risk,quantum_sharpe,classical_return,classical_risk,classical_sharpe,vqe_runtime_sec,depth,parameters
n4_p50_r2_a3,4,50,0.3,2,0.47206311769991016,1.9380867652842184,0.23841198752118256,0.6487788533628525,2.9266591664878066,0.21826212654937585,0.851,5,0
n4_p50_r2_a5,4,50,0.5,2,0.49616916023166024,2.098364572541286,0.2316895579507763,0.6487788533628525,2.9266591664878066,0.21826212654937585,0.376,5,0
n4_p50_r2_a8,4,50,0.8,2,0.4637801371378014,1.9175480219589944,0.23664603542716658,0.6487788533628525,2.9266591664878066,0.21826212654937585,0.386,5,0
n4_p50_r3_a3,4,50,0.3,3,0.49082278481012664,2.0743022549513355,0.2317997696152565,0.6487788533628525,2.9266591664878066,0.21826212654937585,0.395,5,0
n4_p50_r3_a5,4,50,0.5,3,0.49804052414462513,2.110588344699704,0.23123435006652798,0.6487788533628525,2.9266591664878066,0.21826212654937585,0.406,5,0
n4_p50_r3_a8,4,50,0.8,3,0.49221969333972204,2.0761641542654954,0.23226472355232505,0.6487788533628525,2.9266591664878066,0.21826212654937585,0.366,5,0
n4_p100_r2_a3,4,100,0.3,2,0.49990234375000003,2.122951026909417,0.2307647880428018,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.397,5,0
n4_p100_r2_a5,4,100,0.5,2,0.4987344852762229,2.1152010767180642,0.23105816778163754,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.363,5,0
n4_p100_r2_a8,4,100,0.8,2,0.4854317809501521,2.0340433660815838,0.23373728843649585,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.373,5,0
n4_p100_r3_a3,4,100,0.3,3,0.4969181399854687,2.1059857246285705,0.2312067618935763,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.333,5,0
n4_p100_r3_a5,4,100,0.5,3,0.49483381502890167,2.094323214475049,0.2314990406819452,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.425,5,0
n4_p100_r3_a8,4,100,0.8,3,0.4900534441805226,2.0649762710265063,0.23247407290636155,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.356,5,0
n4_p150_r2_a3,4,150,0.3,2,0.4875620420704326,2.0537440752312173,0.2325324015927676,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.322,5,0
n4_p150_r2_a5,4,150,0.5,2,0.49763899004612766,2.110066735688579,0.23110121675227308,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.405,5,0
n4_p150_r2_a8,4,150,0.8,2,0.4918183996166747,2.078208109664774,0.2318431909566528,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.339,5,0
n4_p150_r3_a3,4,150,0.3,3,0.4777572681125981,2.005075006944127,0.2332866683254371,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.298,5,0
n4_p150_r3_a5,4,150,0.5,3,0.4916129032258064,2.078332879267468,0.23173039700721879,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.377,5,0
n4_p150_r3_a8,4,150,0.8,3,0.48602074493163605,2.0489490459993105,0.23232434494215148,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.335,5,0
n4_p200_r2_a3,4,200,0.3,2,0.4450432398228222,1.8321728706082547,0.2374466115080037,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.385,5,0
n4_p200_r2_a5,4,200,0.5,2,0.496690909090909,2.104424475806557,0.23127031389633323,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.375,5,0
n4_p200_r2_a8,4,200,0.8,2,0.496362098138748,2.0988334834604254,0.2317297212815876,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.426,5,0
n4_p200_r3_a3,4,200,0.3,3,0.4968394284330346,2.104956900961581,0.23128237362515017,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.707,5,0
n4_p200_r3_a5,4,200,0.5,3,0.4974478661493696,2.1090534073668494,0.23112163231463523,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.427,5,0
n4_p200_r3_a8,4,200,0.8,3,0.49982291157791897,2.1224320969338066,0.23078378445442221,1.1013836538928714,3.9434523878051797,0.27675842043076027,0.447,5,0
n8_p50_r2_a3,8,50,0.3,2,0.49897101802240623,2.117780754177151,0.2308884038434812,0.5430758598870542,1.385890729383465,0.3846449424798456,1.291,9,0
n8_p50_r2_a5,8,50,0.5,2,0.48953488372093024,2.0614973501026155,0.2326148436218268,0.5430758598870542,1.385890729383465,0.3846449424798456,1.082,9,0
n8_p50_r2_a8,8,50,0.8,2,0.4269872813990461,1.7259825788270209,0.2415941426723038,0.5430758598870542,1.385890729383465,0.3846449424798456,1.083,9,0
n8_p50_r3_a3,8,50,0.3,3,0.4905036913550846,2.0713874673460637,0.23197190237455825,0.5430758598870542,1.385890729383465,0.3846449424798456,1.09,9,0
n8_p50_r3_a5,8,50,0.5,3,0.4894927536231885,2.06646361293447,0.2320354206200067,0.5430758598870542,1.385890729383465,0.3846449424798456,1.456,9,0
n8_p50_r3_a8,8,50,0.8,3,0.49067048437127186,2.072309116440514,0.2319492205858226,0.5430758598870542,1.385890729383465,0.3846449424798456,1.079,9,0
n8_p100_r2_a3,8,100,0.3,2,0.4644807220860263,1.9324055564039657,0.23518909919291184,0.5430758598870542,1.385890729383465,0.3846449424798456,1.028,9,0
